Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
ssuD	b0935	0.00E+00	5.14E-06	3.47E-06	3.73E-06	2.05E-06	4.72E-06	2.50E-06	NO						
ssuA	b0936	6.06E-06	1.98E-06	3.94E-06	2.72E-06	1.28E-06	2.46E-06	3.33E-06	NO						
ssuE	b0937	1.29E-05	5.93E-07	2.31E-07	2.34E-06	2.56E-07	1.23E-06	0.00E+00	NO						
ycbX	b0947	4.15E-05	3.81E-05	4.42E-05	8.21E-05	6.58E-05	7.39E-05	7.87E-05	NO						
fabA	b0954	6.84E-04	5.79E-04	5.75E-04	3.40E-04	2.45E-04	2.18E-04	3.01E-04	NO						
ycbZ	b0955	1.57E-04	2.56E-04	3.09E-04	4.32E-04	5.62E-04	5.93E-04	6.20E-04	NO						
ompA	b0957	9.65E-03	8.57E-03	6.33E-03	4.31E-03	3.70E-03	2.74E-03	4.59E-03	NO						
yccS	b0960	9.43E-05	1.24E-04	1.49E-04	1.29E-04	1.40E-04	1.32E-04	2.25E-04	NO						
yccF	b0961	2.82E-05	3.57E-05	3.02E-05	4.14E-05	4.60E-05	4.20E-05	7.58E-05	NO						
mgsA	b0963	5.85E-05	5.43E-05	4.36E-05	2.77E-05	3.31E-05	2.71E-05	2.91E-05	NO						
yccT	b0964	0.00E+00	9.88E-07	3.01E-06	4.89E-06	5.03E-06	6.56E-06	5.83E-06	NO						
hspQ	b0966	5.08E-05	6.10E-05	5.55E-05	5.73E-05	6.79E-05	6.62E-05	5.60E-05	NO						
yccW	b0967	1.24E-04	1.80E-04	1.57E-04	1.03E-04	1.03E-04	7.11E-05	9.66E-05	NO						
yccK	b0969	6.42E-05	3.22E-05	4.60E-05	6.94E-05	6.52E-05	4.48E-05	8.75E-05	NO						
yccA	b0970	3.55E-04	4.36E-04	6.86E-04	1.30E-03	1.44E-03	1.20E-03	1.36E-03	NO						
etk	b0981	2.29E-05	2.57E-05	3.35E-05	5.26E-05	8.30E-05	8.98E-05	8.25E-05	NO						
etp	b0982	8.38E-06	5.13E-06	3.89E-06	7.09E-06	1.58E-05	1.20E-05	1.25E-05	NO						
gfcE	b0983	3.57E-06	3.56E-06	6.02E-06	2.59E-05	4.38E-05	4.55E-05	4.06E-05	NO						
gfcD	b0984	1.60E-05	7.52E-06	1.55E-05	9.52E-05	1.33E-04	1.06E-04	9.17E-05	NO						
gfcC	b0985	7.77E-06	7.11E-06	1.02E-05	7.32E-05	7.06E-05	6.34E-05	6.58E-05	NO						
gfcB	b0986	3.73E-06	7.11E-06	3.17E-05	8.84E-05	9.99E-05	8.31E-05	7.68E-05	NO						
yccM	b0992	0.00E+00	5.54E-06	7.18E-06	2.65E-06	3.33E-06	2.46E-06	4.17E-06	NO						
torS	b0993	1.09E-06	1.23E-05	1.53E-05	1.31E-05	1.61E-05	1.17E-05	1.75E-05	NO						
torR	b0995	4.82E-06	1.98E-05	1.05E-05	7.34E-06	3.84E-06	5.33E-06	1.67E-06	NO						
cbpM	b0999	2.95E-06	1.27E-05	1.50E-05	2.52E-05	1.07E-05	1.41E-05	1.91E-05	NO						
cbpA	b1000	1.62E-05	4.05E-05	3.47E-05	5.65E-05	6.19E-05	4.16E-05	4.90E-05	NO						
yccJ	b1003	1.42E-05	1.18E-06	4.61E-06	4.27E-06	2.55E-06	4.43E-06	3.73E-06	NO						
wrbA	b1004	1.26E-05	1.01E-05	6.13E-06	5.09E-06	8.19E-06	8.82E-06	1.08E-05	NO						
rutG	b1006	0.00E+00	6.68E-06	8.57E-06	6.32E-06	6.91E-06	8.01E-06	6.67E-06	NO						
rutF	b1007	0.00E+00	1.97E-06	0.00E+00	8.15E-07	2.30E-06	1.02E-06	8.32E-07	NO						
rutE	b1008	0.00E+00	5.93E-07	2.31E-07	8.15E-07	1.02E-06	4.10E-07	2.50E-06	NO						
rutD	b1009	1.24E-06	5.93E-07	6.94E-07	1.02E-06	2.30E-06	1.23E-06	1.67E-06	NO						
rutC	b1010	4.19E-06	1.97E-07	0.00E+00	7.46E-07	2.56E-07	8.26E-07	0.00E+00	NO						
rutB	b1011	0.00E+00	1.98E-07	0.00E+00	1.83E-06	0.00E+00	6.15E-07	1.67E-06	NO						
rutA	b1012	0.00E+00	1.98E-07	1.85E-06	1.43E-06	2.56E-06	2.26E-06	2.50E-06	NO						
putA	b1014	1.74E-04	1.17E-04	1.34E-04	9.77E-05	1.44E-04	1.57E-04	1.68E-04	NO						
pgaD	b1021	1.71E-06	1.78E-06	1.62E-06	3.66E-06	7.92E-06	1.43E-05	1.08E-05	NO						
pgaC	b1022	8.86E-06	1.38E-06	3.38E-06	5.02E-06	4.61E-06	6.91E-06	8.33E-06	NO						
pgaB	b1023	1.71E-06	2.97E-06	3.24E-06	6.32E-06	5.89E-06	7.97E-06	1.58E-05	NO						
pgaA	b1024	5.75E-06	3.36E-06	5.56E-06	4.59E-06	1.15E-05	7.22E-06	6.67E-06	NO						
insF	b1026	6.18E-06	5.13E-06	8.80E-06	1.22E-05	1.37E-05	1.27E-05	1.25E-05	NO						
insE	b1027	1.18E-06	2.57E-06	2.93E-06	4.99E-06	7.20E-06	4.34E-06	3.82E-06	NO						
csgG	b1037	5.59E-06	5.73E-06	7.13E-06	7.65E-06	2.15E-05	1.55E-05	1.83E-05	NO						
csgF	b1038	4.34E-06	5.92E-07	6.93E-07	1.43E-06	0.00E+00	1.84E-06	8.32E-07	NO						
csgE	b1039	5.59E-06	7.89E-07	1.39E-06	2.24E-06	1.53E-06	2.50E-06	1.66E-06	NO						
csgD	b1040	1.72E-05	1.98E-06	2.31E-06	5.91E-06	7.16E-06	8.00E-06	8.19E-06	NO						
mdoC	b1047	3.57E-05	3.63E-05	5.10E-05	8.78E-05	8.66E-05	9.06E-05	5.35E-05	NO						
msyB	b1051	5.74E-06	6.31E-06	1.48E-05	1.54E-05	7.15E-06	1.42E-05	3.01E-05	NO						
mdtG	b1053	2.18E-06	9.29E-06	1.71E-05	2.29E-05	3.28E-05	3.10E-05	5.67E-05	NO						
lpxL	b1054	4.82E-05	5.03E-05	5.30E-05	6.74E-05	7.78E-05	5.98E-05	6.50E-05	NO						
yceI	b1056	8.70E-06	1.18E-05	4.86E-06	1.53E-05	2.66E-05	4.47E-05	7.99E-05	NO						
yceJ	b1057	9.32E-07	4.54E-06	3.47E-06	2.22E-05	3.43E-05	3.98E-05	5.01E-05	NO						
yceO	b1058	0.00E+00	1.66E-06	4.59E-07	1.41E-06	1.02E-06	3.01E-06	4.13E-06	NO						
solA	b1059	8.42E-05	7.68E-05	7.06E-05	1.32E-04	1.36E-04	1.16E-04	8.58E-05	NO						
pyrC	b1062	9.57E-05	1.24E-04	1.49E-04	1.59E-04	1.50E-04	1.07E-04	6.67E-05	NO						
yceB	b1063	6.37E-06	2.56E-05	3.24E-05	6.01E-05	7.16E-05	6.82E-05	7.89E-05	NO						
grxB	b1064	9.47E-06	1.05E-05	1.34E-05	2.05E-05	2.58E-05	2.49E-05	2.91E-05	NO						
mdtH	b1065	3.11E-07	5.93E-06	1.16E-05	2.18E-05	2.34E-05	2.74E-05	2.67E-05	NO						
flgN	b1070	0.00E+00	2.76E-06	3.26E-06	5.85E-06	1.12E-05	8.98E-06	9.15E-06	NO						
flgM	b1071	7.75E-07	1.77E-06	1.49E-06	2.54E-06	5.11E-06	4.20E-06	5.82E-06	NO						
flgA	b1072	0.00E+00	1.58E-06	1.99E-06	5.33E-06	2.56E-06	3.08E-06	3.33E-06	NO						
rne	b1084	8.63E-04	8.00E-04	9.57E-04	1.17E-03	1.35E-03	1.43E-03	1.60E-03	NO						
yceF	b1087	2.61E-05	2.64E-05	1.94E-05	2.08E-05	2.43E-05	1.92E-05	3.25E-05	NO						
fhuE	b1102	1.74E-05	5.54E-06	1.20E-05	1.61E-05	2.66E-05	2.29E-05	2.58E-05	NO						
ycfQ	b1111	5.37E-05	2.00E-05	1.97E-05	4.31E-05	3.48E-05	5.02E-05	4.79E-05	NO						
mfd	b1114	2.69E-04	2.47E-04	2.66E-04	1.97E-04	2.01E-04	2.16E-04	1.98E-04	NO						
ycfT	b1115	0.00E+00	0.00E+00	1.04E-06	1.02E-06	2.30E-06	1.03E-06	3.33E-06	NO						
ycfZ	b1121	0.00E+00	1.07E-05	1.20E-05	1.35E-05	9.47E-06	1.53E-05	1.96E-05	NO						
ymfA	b1122	1.55E-07	2.36E-05	2.87E-05	1.58E-05	1.56E-05	1.39E-05	1.60E-05	NO						
potD	b1123	4.46E-04	5.40E-04	4.72E-04	2.00E-04	1.85E-04	1.19E-04	2.58E-04	NO						
potC	b1124	1.63E-04	2.49E-04	3.00E-04	1.51E-04	1.09E-04	1.15E-04	2.32E-04	NO						
potB	b1125	1.58E-04	2.70E-04	2.74E-04	1.73E-04	1.48E-04	1.32E-04	2.56E-04	NO						
potA	b1126	4.13E-04	3.94E-04	3.71E-04	3.15E-04	3.28E-04	2.59E-04	5.20E-04	NO						
ycfD	b1128	1.65E-04	1.65E-04	2.12E-04	2.54E-04	2.37E-04	2.35E-04	2.55E-04	NO						
phoQ	b1129	9.22E-05	1.31E-04	1.55E-04	1.83E-04	2.04E-04	1.94E-04	1.84E-04	NO						
phoP	b1130	7.41E-05	8.24E-05	8.11E-05	9.21E-05	9.81E-05	1.12E-04	1.54E-04	NO						
purB	b1131	2.52E-04	2.98E-04	2.15E-04	1.57E-04	1.54E-04	1.15E-04	1.30E-04	NO						
hflD	b1132	2.98E-05	9.90E-05	9.15E-05	1.31E-04	1.40E-04	1.37E-04	1.62E-04	NO						
mnmA	b1133	1.83E-04	2.52E-04	3.37E-04	4.16E-04	4.68E-04	3.62E-04	4.44E-04	NO						
nudJ	b1134	9.00E-06	2.17E-05	2.68E-05	4.29E-05	4.07E-05	3.23E-05	2.58E-05	NO						
rluE	b1135	1.63E-05	2.50E-05	2.97E-05	4.98E-05	5.96E-05	3.75E-05	3.00E-05	NO						
ymfD	b1137	0.00E+00	7.31E-06	6.02E-06	3.06E-06	1.54E-06	5.95E-06	2.50E-06	NO						
ymfE	b1138	0.00E+00	3.36E-06	3.01E-06	1.83E-06	1.54E-06	3.03E-06	5.83E-06	NO						
intE	b1140	4.20E-06	7.91E-06	6.44E-04	6.40E-04	1.10E-05	2.92E-04	3.20E-04	NO						
xisE	b1141	3.25E-06	9.85E-07	3.94E-06	4.40E-06	2.81E-06	3.53E-06	1.66E-06	NO						
ymfJ	b1144	0.00E+00	3.15E-06	2.89E-06	4.07E-06	5.36E-06	4.04E-06	3.32E-06	NO						
ymfK	b1145	6.69E-05	6.25E-05	5.28E-05	2.36E-05	1.74E-05	1.55E-05	2.50E-05	NO						
tfaE	b1156	0.00E+00	1.48E-06	1.50E-06	2.24E-06	1.28E-06	3.47E-06	2.50E-06	NO						
stfE	b1157	0.00E+00	0.00E+00	9.25E-07	4.07E-07	2.05E-06	4.10E-07	8.32E-07	NO						
elbA	b1160	2.95E-06	0.00E+00	9.24E-07	1.31E-05	3.22E-05	7.11E-05	6.33E-05	NO						
ymgD	b1171	1.80E-05	7.49E-06	8.04E-06	7.65E-06	1.34E-05	9.18E-06	9.14E-06	NO						
ymgG	b1172	2.94E-06	8.06E-06	5.79E-06	1.01E-05	4.08E-06	1.04E-05	2.08E-05	NO						
ymgI	b4593	1.54E-07	3.14E-06	9.21E-07	1.62E-06	2.54E-06	4.08E-06	4.42E-06	NO						
minE	b1174	1.10E-04	1.08E-04	7.93E-05	3.55E-05	3.80E-05	4.61E-05	5.12E-05	NO						
minD	b1175	4.14E-04	3.55E-04	2.47E-04	1.43E-04	1.37E-04	1.71E-04	2.09E-04	NO						
minC	b1176	1.88E-04	1.34E-04	1.35E-04	1.11E-04	1.32E-04	1.40E-04	1.27E-04	NO						
ycgK	b1178	5.18E-05	2.18E-05	1.31E-05	5.23E-06	4.60E-06	3.07E-06	4.99E-06	NO						
hlyE	b1182	0.00E+00	9.88E-07	3.01E-06	2.24E-06	2.56E-07	3.08E-06	4.17E-06	NO						
dsbB	b1185	8.71E-05	7.42E-05	9.93E-05	8.67E-05	8.18E-05	8.23E-05	1.32E-04	NO						
nhaB	b1186	1.10E-04	1.16E-04	1.13E-04	9.26E-05	7.07E-05	7.67E-05	1.04E-04	NO						
ycgB	b1188	1.55E-07	4.75E-06	3.24E-06	6.94E-06	2.54E-06	9.08E-06	2.08E-05	NO						
ldcA	b1192	2.25E-05	1.92E-05	2.35E-05	4.66E-05	5.99E-05	4.08E-05	1.62E-05	NO						
ycgR	b1194	0.00E+00	5.93E-07	1.39E-06	3.06E-06	3.07E-06	2.67E-06	0.00E+00	NO						
treA	b1197	0.00E+00	5.93E-06	7.41E-06	8.02E-06	4.61E-06	3.08E-06	4.17E-06	NO						
dhaM	b1198	1.52E-04	1.00E-04	9.97E-05	5.48E-05	3.98E-05	4.41E-05	3.42E-05	NO						
dhaL	b1199	3.21E-05	5.82E-05	3.62E-05	2.22E-05	2.23E-05	1.47E-05	9.16E-06	NO						
dhaK	b1200	1.34E-04	6.06E-05	5.78E-05	3.42E-05	2.97E-05	2.41E-05	2.17E-05	NO						
ycgV	b1202	0.00E+00	1.03E-05	1.18E-05	2.09E-05	2.69E-05	3.22E-05	4.00E-05	NO						
ychF	b1203	5.14E-04	4.98E-04	3.99E-04	3.37E-04	3.14E-04	2.15E-04	2.08E-04	NO						
pth	b1204	8.02E-05	7.23E-05	9.17E-05	5.52E-05	3.61E-05	3.60E-05	3.75E-05	NO						
ychM	b1206	5.83E-05	6.43E-05	9.83E-05	1.59E-04	1.55E-04	1.61E-04	2.46E-04	NO						
prs	b1207	6.97E-04	8.46E-04	7.14E-04	4.52E-04	3.25E-04	2.53E-04	3.68E-04	NO						
ispE	b1208	1.35E-04	2.04E-04	2.06E-04	1.70E-04	1.43E-04	1.33E-04	2.07E-04	NO						
lolB	b1209	5.33E-05	5.38E-05	3.80E-05	4.31E-05	5.82E-05	5.43E-05	4.39E-05	NO						
ldrA	b4419	0.00E+00	1.29E-06	1.81E-06	1.32E-05	1.27E-05	1.42E-05	1.20E-05	NO						
ldrB	b4421	0.00E+00	2.21E-06	4.90E-07	7.42E-06	9.31E-06	9.16E-06	9.88E-06	NO						
ldrC	b4423	0.00E+00	1.29E-06	1.81E-06	1.32E-05	1.27E-05	1.42E-05	1.20E-05	NO						
ychN	b1219	6.31E-05	3.09E-05	3.92E-05	3.28E-05	2.20E-05	2.74E-05	4.78E-05	NO						
narL	b1221	3.93E-05	4.96E-05	3.49E-05	3.39E-05	2.33E-05	3.11E-05	6.00E-05	NO						
narX	b1222	4.43E-05	5.09E-05	5.29E-05	6.30E-05	7.63E-05	6.16E-05	8.42E-05	NO						
tpr	b1229	6.12E-07	1.85E-05	4.47E-05	7.22E-05	2.95E-05	2.51E-05	3.87E-05	NO						
purU	b1232	2.03E-04	2.62E-04	2.05E-04	1.94E-04	1.82E-04	1.93E-04	2.67E-04	NO						
ychJ	b1233	1.17E-04	7.43E-05	1.07E-04	1.07E-04	9.68E-05	1.07E-04	1.44E-04	NO						
hns	b1237	2.94E-04	2.83E-04	2.57E-04	1.99E-04	2.69E-04	3.16E-04	4.95E-04	NO						
insZ	b4573	0.00E+00	2.81E-06	1.15E-06	9.27E-07	2.80E-06	3.47E-06	0.00E+00	NO						
insZ	b4573	0.00E+00	7.85E-07	2.30E-07	1.42E-06	2.54E-07	4.08E-07	1.65E-06	NO						
insZ	b4573	0.00E+00	3.36E-06	6.71E-06	4.95E-06	7.67E-06	5.54E-06	5.83E-06	NO						
adhE	b1241	6.74E-04	5.22E-04	4.48E-04	2.97E-04	2.83E-04	2.98E-04	6.83E-04	NO						
yciU	b1248	2.78E-05	3.59E-05	4.09E-05	2.63E-05	3.04E-05	2.94E-05	4.07E-05	NO						
cls	b1249	9.30E-05	9.46E-05	1.27E-04	1.57E-04	1.90E-04	2.38E-04	2.25E-04	NO						
kch	b1250	1.32E-05	2.12E-05	1.85E-05	1.47E-05	1.77E-05	1.48E-05	1.97E-05	NO						
yciI	b1251	8.68E-06	9.86E-06	8.54E-06	5.55E-06	2.04E-06	5.12E-06	7.60E-06	NO						
yciA	b1253	1.06E-04	6.84E-05	6.92E-05	4.31E-05	2.68E-05	3.37E-05	4.33E-05	NO						
yciB	b1254	1.69E-05	4.54E-05	4.10E-05	4.12E-05	4.40E-05	7.52E-05	9.87E-05	NO						
yciC	b1255	3.82E-05	6.33E-05	4.97E-05	5.77E-05	7.28E-05	9.88E-05	1.35E-04	NO						
yciE	b1257	0.00E+00	1.97E-06	1.62E-06	2.94E-06	9.72E-06	6.21E-06	7.49E-06	NO						
yciF	b1258	0.00E+00	0.00E+00	2.54E-06	6.11E-06	3.58E-06	5.02E-06	4.99E-06	NO						
yciG	b1259	0.00E+00	0.00E+00	1.68E-06	2.64E-06	2.80E-06	2.76E-06	0.00E+00	NO						
trpA	b1260	5.05E-05	3.98E-05	4.92E-05	1.04E-04	1.35E-04	2.36E-04	3.52E-04	NO						
trpB	b1261	1.25E-04	8.00E-05	9.97E-05	1.76E-04	2.83E-04	4.12E-04	6.25E-04	NO						
trpC	b1262	6.59E-05	6.41E-05	1.21E-04	2.74E-04	3.39E-04	5.90E-04	5.70E-04	NO						
trpD	b1263	5.89E-05	4.55E-05	7.25E-05	1.22E-04	1.66E-04	3.44E-04	3.15E-04	NO						
trpE	b1264	7.98E-05	4.02E-05	4.91E-05	7.61E-05	1.22E-04	2.50E-04	2.49E-04	NO						
trpL	b1265	0.00E+00	4.10E-07	4.18E-06	4.72E-06	8.96E-06	1.65E-05	2.27E-05	NO						
btuR	b1270	9.01E-06	2.11E-05	2.24E-05	1.77E-05	1.15E-05	1.84E-05	2.19E-05	NO						
yciK	b1271	5.11E-05	1.98E-05	2.15E-05	2.14E-05	2.35E-05	2.32E-05	2.65E-05	NO						
yciN	b1273	5.70E-05	5.54E-05	5.24E-05	1.02E-04	1.32E-04	1.05E-04	1.17E-04	NO						
ribA	b1277	4.12E-05	6.79E-05	5.72E-05	5.13E-05	4.22E-05	4.89E-05	6.21E-05	NO						
yciT	b1284	7.46E-05	5.59E-05	5.25E-05	4.00E-05	3.63E-05	4.45E-05	3.25E-05	NO						
yciZ	b4596	3.40E-06	5.60E-06	4.96E-06	3.31E-06	1.04E-05	6.36E-06	8.28E-07	NO						
gmr	b1285	6.66E-05	4.19E-05	5.54E-05	3.88E-05	3.33E-05	3.06E-05	2.75E-05	NO						
rnb	b1286	7.44E-04	7.02E-04	6.16E-04	3.06E-04	2.91E-04	2.33E-04	1.67E-04	NO						
yciW	b1287	1.93E-04	1.56E-04	1.03E-04	4.61E-05	4.53E-05	4.44E-05	2.00E-05	NO						
fabI	b1288	1.23E-03	1.13E-03	7.53E-04	3.10E-04	1.92E-04	1.56E-04	2.05E-04	NO						
ycjD	b1289	1.26E-05	8.56E-06	1.89E-05	1.59E-05	1.53E-05	1.77E-05	2.27E-05	NO						
sapF	b1290	2.98E-05	4.22E-05	4.68E-05	4.11E-05	3.86E-05	5.05E-05	3.30E-05	NO						
sapD	b1291	4.06E-05	7.21E-05	1.04E-04	6.34E-05	5.83E-05	7.02E-05	4.67E-05	NO						
sapC	b1292	1.34E-05	4.23E-05	6.78E-05	5.03E-05	5.79E-05	6.04E-05	2.54E-05	NO						
sapB	b1293	5.75E-05	4.40E-05	7.15E-05	5.03E-05	6.09E-05	6.98E-05	3.67E-05	NO						
sapA	b1294	3.37E-05	7.82E-05	7.95E-05	1.05E-04	1.39E-04	1.17E-04	7.51E-05	NO						
ymjA	b1295	3.56E-06	8.47E-06	1.30E-05	3.98E-05	4.87E-05	4.91E-05	3.87E-05	NO						
puuP	b1296	1.55E-07	1.11E-05	2.48E-05	4.57E-04	6.85E-04	6.52E-04	3.29E-04	NO						
pspF	b1303	2.02E-05	2.08E-05	3.23E-05	6.02E-05	5.84E-05	5.45E-05	6.32E-05	NO						
ycjW	b1320	4.97E-06	7.51E-06	1.32E-05	7.54E-06	9.73E-06	9.44E-06	1.67E-05	NO						
tpx	b1324	7.21E-04	5.01E-04	3.96E-04	2.31E-04	2.51E-04	1.93E-04	2.78E-04	NO						
mpaA	b1326	1.99E-05	1.11E-05	1.27E-05	1.69E-05	1.78E-05	1.89E-05	1.92E-05	NO						
ymjC	b4525	0.00E+00	3.92E-07	2.30E-07	2.02E-07	7.62E-07	2.04E-07	2.76E-07	NO						
ycjY	b1327	1.09E-05	2.77E-06	2.55E-06	3.87E-06	1.28E-06	5.64E-06	9.16E-06	NO						
ynaI	b1330	1.80E-05	1.74E-05	1.64E-05	1.04E-05	1.46E-05	1.58E-05	1.42E-05	NO						
uspE	b1333	1.16E-04	1.37E-04	2.10E-04	3.26E-04	3.41E-04	3.22E-04	5.08E-04	NO						
fnr	b1334	3.53E-04	4.43E-04	5.22E-04	7.97E-04	8.02E-04	6.47E-04	6.38E-04	NO						
ogt	b1335	6.05E-06	1.41E-05	2.33E-05	4.94E-05	5.01E-05	4.12E-05	3.58E-05	NO						
abgT	b1336	0.00E+00	4.53E-06	1.07E-05	1.71E-05	1.90E-05	2.06E-05	2.00E-05	NO						
abgB	b1337	0.00E+00	3.56E-06	3.47E-06	5.92E-06	4.61E-06	4.31E-06	6.67E-06	NO						
abgA	b1338	4.97E-06	1.78E-06	3.94E-06	5.30E-06	4.35E-06	3.90E-06	3.33E-06	NO						
ydaM	b1341	3.89E-06	3.95E-06	4.23E-06	3.92E-06	4.86E-06	6.00E-06	1.00E-05	NO						
ttcA	b1344	2.42E-04	1.85E-04	1.68E-04	1.21E-04	9.91E-05	7.90E-05	8.69E-05	NO						
intR	b1345	4.26E-05	3.12E-05	2.45E-05	1.43E-05	2.00E-05	1.11E-05	1.58E-05	NO						
ydaQ	b1346	0.00E+00	0.00E+00	2.30E-07	1.02E-06	0.00E+00	8.17E-07	0.00E+00	NO						
ydaC	b1347	0.00E+00	0.00E+00	0.00E+00	1.01E-06	1.78E-06	6.13E-07	8.29E-07	NO						
lar	b1348	0.00E+00	3.93E-07	2.30E-07	1.72E-06	0.00E+00	1.18E-06	8.29E-07	NO						
recT	b1349	4.35E-06	3.56E-06	3.93E-06	7.75E-06	1.20E-05	7.56E-06	7.50E-06	NO						
recE	b1350	1.07E-05	2.18E-06	5.56E-06	1.21E-05	6.66E-06	1.23E-05	1.17E-05	NO						
racC	b1351	0.00E+00	1.41E-07	1.46E-06	1.42E-06	3.83E-06	2.16E-06	8.31E-07	NO						
ydaE	b4526	0.00E+00	0.00E+00	1.84E-06	2.03E-06	1.02E-06	8.16E-07	1.66E-06	NO						
kilR	b1352	0.00E+00	5.91E-07	7.84E-07	2.23E-06	5.10E-07	1.63E-06	2.49E-06	NO						
ydaF	b4527	0.00E+00	4.95E-06	4.44E-05	2.78E-05	2.30E-05	1.67E-05	1.53E-05	NO						
ydaG	b1355	4.62E-07	5.72E-06	1.96E-05	2.35E-05	1.94E-05	9.39E-06	2.48E-06	NO						
racR	b1356	1.82E-05	6.18E-05	7.78E-05	1.50E-04	1.45E-04	9.31E-05	3.37E-05	NO						
insH	b1370	2.35E-05	3.17E-05	3.15E-05	4.37E-05	4.68E-05	3.09E-05	2.61E-05	NO						
ttcC	b4638	0.00E+00	0.00E+00	6.35E-08	3.91E-07	0.00E+00	1.76E-06	1.20E-06	NO						
uspF	b1376	6.98E-06	4.34E-06	9.13E-06	1.12E-05	1.55E-05	1.29E-05	2.72E-05	NO						
ompN	b1377	1.31E-05	1.69E-05	1.27E-05	1.06E-05	1.33E-05	1.62E-05	1.04E-05	NO						
ydbK	b1378	2.65E-04	2.46E-04	2.22E-04	1.30E-04	1.15E-04	8.66E-05	8.34E-05	NO						
hslJ	b1379	2.86E-05	4.12E-05	3.43E-05	2.19E-05	2.89E-05	2.21E-05	1.55E-05	NO						
ldhA	b1380	1.28E-04	1.06E-04	8.53E-05	4.62E-05	2.94E-05	3.06E-05	3.50E-05	NO						
feaR	b1384	4.66E-06	2.17E-06	3.47E-06	1.64E-05	2.87E-05	2.28E-05	1.92E-05	NO						
tynA	b1386	6.06E-06	1.38E-06	5.13E-06	7.55E-06	7.68E-06	7.29E-06	9.17E-06	NO						
maoC	b1387	0.00E+00	1.98E-06	1.85E-06	3.67E-06	2.31E-06	6.47E-06	4.17E-06	NO						
insD	b1402	1.10E-05	1.29E-05	1.93E-05	4.32E-05	4.33E-05	3.03E-05	2.54E-05	NO						
insC	b1403	5.48E-06	7.76E-06	1.03E-05	2.10E-05	2.14E-05	1.57E-05	1.18E-05	NO						
azoR	b1412	3.46E-05	1.80E-05	1.34E-05	1.61E-05	4.09E-06	9.09E-06	1.25E-05	NO						
gapC	b4493	7.16E-05	8.90E-05	9.60E-05	2.20E-04	2.19E-04	1.86E-04	3.18E-04	NO						
gapC	b4493	8.05E-06	1.17E-05	1.47E-05	2.49E-05	4.10E-05	3.73E-05	5.16E-05	NO						
hokB	b4428	0.00E+00	3.65E-06	4.42E-06	5.60E-06	3.75E-06	5.60E-06	4.14E-06	NO						
mokB	b1420	5.71E-06	5.70E-06	3.57E-06	3.29E-06	5.60E-06	6.64E-06	3.31E-06	NO						
ydcI	b1422	2.81E-05	4.49E-05	7.78E-05	1.92E-04	2.65E-04	2.47E-04	2.83E-04	NO						
ydcK	b1428	2.64E-06	3.56E-06	6.02E-06	7.54E-06	6.40E-06	9.42E-06	5.00E-06	NO						
yncK	b4578	0.00E+00	1.78E-06	2.54E-06	2.24E-06	1.53E-06	3.69E-06	1.66E-06	NO						
ydcO	b1433	1.01E-05	1.05E-05	9.26E-06	5.51E-06	1.71E-06	5.95E-06	5.83E-06	NO						
yncJ	b1436	1.24E-06	1.58E-06	1.15E-06	3.05E-06	2.55E-07	3.47E-06	2.49E-06	NO						
yncL	b4598	1.21E-05	5.47E-06	2.28E-06	4.03E-06	4.04E-06	7.37E-06	1.10E-05	NO						
ydcZ	b1447	2.56E-05	1.38E-05	2.64E-05	3.42E-05	4.88E-05	1.16E-04	8.00E-05	NO						
yncA	b1448	7.98E-05	2.51E-05	3.36E-05	5.88E-05	8.14E-05	1.76E-04	1.24E-04	NO						
yncD	b1451	4.60E-05	5.46E-05	6.88E-05	4.38E-05	4.50E-05	3.42E-05	3.25E-05	NO						
ansP	b1453	6.55E-05	1.13E-04	1.24E-04	5.51E-05	4.89E-05	2.13E-05	2.00E-05	NO						
yddH	b1462	0.00E+00	9.88E-07	3.70E-06	2.04E-06	0.00E+00	2.05E-06	5.41E-06	NO						
yddE	b1464	1.48E-05	2.26E-05	2.67E-05	4.01E-05	3.87E-05	4.80E-05	3.50E-05	NO						
narV	b1465	0.00E+00	5.93E-07	3.24E-06	5.50E-06	3.33E-06	4.10E-06	5.83E-06	NO						
narW	b1466	0.00E+00	7.90E-07	1.62E-06	1.22E-06	1.02E-06	1.09E-06	2.50E-06	NO						
narY	b1467	0.00E+00	1.78E-06	3.71E-06	8.67E-06	5.63E-06	4.93E-06	7.50E-06	NO						
narZ	b1468	9.18E-06	9.69E-06	1.19E-05	1.52E-05	1.64E-05	1.97E-05	2.13E-05	NO						
narU	b1469	0.00E+00	0.00E+00	4.63E-07	1.63E-06	2.82E-06	2.67E-06	4.17E-06	NO						
yddJ	b1470	0.00E+00	0.00E+00	4.16E-06	1.22E-06	2.55E-07	1.02E-06	0.00E+00	NO						
yddK	b1471	0.00E+00	1.98E-07	4.63E-07	2.04E-07	0.00E+00	2.05E-07	0.00E+00	NO						
yddL	b1472	0.00E+00	3.94E-07	0.00E+00	2.03E-07	0.00E+00	2.05E-07	0.00E+00	NO						
yddG	b1473	1.35E-05	1.01E-05	8.33E-06	2.85E-06	2.05E-06	4.00E-06	2.50E-06	NO						
